Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
CowboysCowboys,550,1953,3.6,26,7,1,46T,136,24.7,7
SteelersSteelers,546,2180,4.0,15,6,0,29T,138,25.3,4
GiantsGiants,525,1754,3.3,12,6,0,27,103,19.6,11
ColtsColts,495,2060,4.2,15,20,4,52,108,21.8,11
49ers49ers,491,1897,3.9,23,11,0,28T,122,24.8,13
BearsBears,487,1588,3.3,10,1,0,25T,88,18.1,10
BillsBills,483,1831,3.8,14,7,1,60,107,22.2,7
ChargersChargers,482,1852,3.8,13,9,0,36T,102,21.2,12
CardinalsCardinals,480,1560,3.2,12,5,0,36T,90,18.8,14
SeahawksSeahawks,480,2084,4.3,16,14,2,41,114,23.8,16
PatriotsPatriots,478,1332,2.8,12,1,0,26,83,17.4,11
ChiefsChiefs,464,1732,3.7,12,3,0,36T,97,20.9,9
BrownsBrowns,449,1657,3.7,12,6,0,39,80,17.8,9
DolphinsDolphins,433,1658,3.8,13,7,2,47T,109,25.2,12
EaglesEagles,432,1761,4.1,14,8,1,91,103,23.8,12
BroncosBroncos,431,1470,3.4,19,10,0,24T,101,23.4,8
BuccaneersBuccaneers,430,1489,3.5,8,4,0,27,104,24.2,7
RaidersRaiders,428,1512,3.5,7,2,0,28,87,20.3,8
VikingsVikings,419,1524,3.6,11,5,2,45T,92,22.0,9
PackersPackers,417,1543,3.7,11,8,1,43,88,21.1,4
OilersOilers,417,1682,4.0,10,3,0,33,97,23.3,13
JetsJets,416,1566,3.8,8,5,2,90,90,21.6,11
RedskinsRedskins,407,1415,3.5,5,4,1,49,79,19.4,8
LionsLions,406,2080,5.1,12,19,7,85,94,23.2,4
BengalsBengals,404,1556,3.8,5,5,0,37T,84,20.8,15
RamsRams,397,1389,3.5,6,3,1,44T,80,20.2,11
SaintsSaints,373,1336,3.6,11,4,1,40T,78,20.9,10
FalconsFalcons,330,1249,3.8,8,2,0,25,63,19.1,15
