Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
CowboysCowboys,340,1336,3.9,9,79,23.2
BillsBills,468,2130,4.6,21,122,26.1
PatriotsPatriots,368,1417,3.8,6,81,22.0
TitansTitans,356,1413,4.0,10,70,19.7
49ers49ers,548,2654,4.8,25,140,25.6
TexansTexans,397,1595,4.0,13,87,21.9
PanthersPanthers,376,1465,3.9,11,90,23.9
BuccaneersBuccaneers,427,1875,4.4,15,102,23.9
BengalsBengals,412,1812,4.4,12,95,23.1
EaglesEagles,391,1652,4.2,10,89,22.8
RaidersRaiders,421,1881,4.5,18,94,22.3
FalconsFalcons,370,1672,4.5,15,95,25.7
JetsJets,428,1581,3.7,11,86,20.1
ChiefsChiefs,437,1938,4.4,10,102,23.3
BroncosBroncos,482,2085,4.3,15,101,21.0
ColtsColts,409,1926,4.7,12,93,22.7
SteelersSteelers,369,1600,4.3,15,95,25.8
DolphinsDolphins,464,2247,4.8,12,109,23.5
SaintsSaints,396,1626,4.1,19,91,23.0
SeahawksSeahawks,441,1487,3.4,16,94,21.3
CardinalsCardinals,424,1518,3.6,16,90,21.2
GiantsGiants,397,1417,3.6,10,82,20.6
ChargersChargers,410,1567,3.8,20,98,23.9
JaguarsJaguars,446,1703,3.8,17,93,20.8
BearsBears,445,1950,4.4,18,99,22.2
VikingsVikings,404,1711,4.2,9,87,21.5
RedskinsRedskins,423,1916,4.5,19,109,25.8
RamsRams,424,1660,3.9,12,91,21.5
PackersPackers,376,1515,4.0,11,80,21.3
RavensRavens,384,1430,3.7,10,74,19.3
BrownsBrowns,498,2283,4.6,18,121,24.3
LionsLions,389,1701,4.4,8,99,25.4
