Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
BearsBears,189,60,9,3,97,23.0,935
EaglesEagles,217,80,14,8,115,24.2,1009
GiantsGiants,227,78,20,7,82,19.0,1082
CardinalsCardinals,222,76,11,6,112,21.4,1049
JetsJets,228,72,21,8,103,21.9,1057
ChargersChargers,221,85,18,7,92,20.3,1048
ChiefsChiefs,206,65,13,4,94,22.8,974
CowboysCowboys,233,89,11,5,104,20.4,1022
RavensRavens,234,94,14,7,101,21.4,1069
RedskinsRedskins,237,79,21,12,129,25.4,1058
SteelersSteelers,228,102,13,7,82,20.4,1005
PanthersPanthers,222,82,18,6,112,22.5,1023
OilersOilers,205,80,20,9,79,19.1,992
BroncosBroncos,207,65,19,8,83,21.8,951
PatriotsPatriots,233,90,30,16,114,26.2,1100
DolphinsDolphins,215,92,18,7,106,23.9,1000
VikingsVikings,212,88,18,9,104,23.5,1028
BengalsBengals,227,102,16,11,141,27.4,1091
SeahawksSeahawks,198,66,16,8,96,21.1,959
JaguarsJaguars,226,102,23,12,107,23.5,1035
LionsLions,236,85,11,5,98,20.8,1021
RamsRams,215,76,11,5,84,19.1,1021
49ers49ers,219,76,21,12,67,17.4,949
BillsBills,240,85,16,7,85,17.2,1041
PackersPackers,232,77,24,12,105,23.7,1051
ColtsColts,199,83,14,4,95,21.7,928
BuccaneersBuccaneers,220,75,17,11,96,22.9,982
RaidersRaiders,236,92,14,7,121,23.0,1108
FalconsFalcons,213,78,12,10,76,18.6,960
SaintsSaints,252,102,12,7,95,19.2,1073
