Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
BuccaneersBuccaneers,492,5383,10.9,43,76,10,62,273,55.5,4
ChiefsChiefs,448,4937,11.0,37,58,11,75,267,59.6,4
CowboysCowboys,444,4963,11.2,40,63,8,73,248,55.9,4
ChargersChargers,443,5014,11.3,38,53,15,72,256,57.8,5
RaidersRaiders,429,4808,11.2,23,67,10,61,217,50.6,5
SteelersSteelers,425,4017,9.4,23,41,9,59,204,48.0,4
BillsBills,415,4450,10.7,36,51,8,61,236,56.9,8
CardinalsCardinals,415,4619,11.1,27,62,11,77,214,51.6,2
RamsRams,406,4893,12.0,41,65,18,79,233,57.4,2
DolphinsDolphins,404,3936,9.7,21,45,8,65,206,51.0,2
PackersPackers,402,4526,11.3,39,61,11,75,235,58.5,5
VikingsVikings,398,4450,11.2,34,63,10,64,202,50.8,3
RavensRavens,396,4267,10.8,21,54,6,49T,209,52.8,6
LionsLions,396,3884,9.8,23,48,5,75,193,48.7,2
BengalsBengals,384,4806,12.5,36,63,16,82,208,54.2,5
FalconsFalcons,377,3987,10.6,20,44,7,64T,196,52.0,7
PatriotsPatriots,364,4098,11.3,24,60,8,75,187,51.4,5
JaguarsJaguars,361,3674,10.2,12,44,5,58,178,49.3,5
TitansTitans,359,3745,10.4,22,35,7,57,194,54.0,4
JetsJets,357,3959,11.1,20,52,6,62,195,54.6,6
Football TeamFootball Team,356,3746,10.5,21,42,7,73,181,50.8,4
BroncosBroncos,354,3856,10.9,20,46,7,64T,179,50.6,2
TexansTexans,354,3630,10.2,21,44,8,67,162,45.8,5
GiantsGiants,351,3463,9.9,15,31,6,60,171,48.7,4
PanthersPanthers,348,3573,10.3,14,36,5,64,174,50.0,1
49ers49ers,343,4437,12.9,26,63,11,83,200,58.3,9
BearsBears,332,3635,11.0,16,40,7,64,180,54.2,1
ColtsColts,324,3588,11.1,27,42,9,76,167,51.5,5
SeahawksSeahawks,324,3815,11.8,30,56,12,84,166,51.2,6
BrownsBrowns,320,3619,11.3,21,47,8,71,177,55.3,3
EaglesEagles,307,3585,11.7,20,51,5,91T,167,54.4,2
SaintsSaints,293,3437,11.7,29,41,8,72,165,56.3,3
