Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
GiantsGiants,608,373,61.4,6.0,3680,20,14,79.8,178,29.3,33,6,77T,34,201
49ers49ers,607,362,59.6,7.0,4235,15,15,78.8,206,33.9,49,14,83T,43,310
BuccaneersBuccaneers,605,378,62.5,7.6,4607,26,14,90.6,243,40.2,47,6,70,40,241
DolphinsDolphins,602,373,62.0,6.3,3792,24,21,78.7,187,31.1,41,5,65,33,257
CardinalsCardinals,598,339,56.7,6.6,3979,21,18,76.2,200,33.4,55,5,52T,52,339
SteelersSteelers,590,384,65.1,7.7,4534,29,15,94.1,217,36.8,56,16,97T,24,154
PatriotsPatriots,587,389,66.3,7.9,4619,32,8,102.6,232,39.5,63,10,64T,35,201
ChargersChargers,583,366,62.8,7.8,4551,28,11,95.1,220,37.7,61,12,75T,18,120
BrownsBrowns,574,312,54.4,6.2,3537,15,28,61.4,157,27.4,53,5,56T,50,309
LionsLions,570,374,65.6,7.8,4470,29,11,98.4,210,36.8,61,16,71T,47,287
RavensRavens,567,363,64.0,5.7,3235,20,13,81.4,168,29.6,29,5,66,27,205
BroncosBroncos,566,332,58.7,6.5,3668,19,22,73.0,180,31.8,55,3,54T,52,335
EaglesEagles,564,341,60.5,7.0,3967,38,9,97.6,193,34.2,43,9,72T,36,230
PackersPackers,562,352,62.6,6.3,3532,25,18,82.0,176,31.3,38,8,72T,51,365
RaidersRaiders,558,347,62.2,6.7,3761,23,14,85.3,178,31.9,47,10,87,24,130
SeahawksSeahawks,555,340,61.3,7.2,3979,34,12,94.4,183,33.0,58,12,74T,43,322
ChiefsChiefs,543,363,66.8,8.0,4326,26,8,100.8,198,36.5,54,14,79T,37,222
RedskinsRedskins,540,347,64.3,7.6,4093,27,13,93.8,191,35.4,59,9,74,41,342
SaintsSaints,536,386,72.0,8.1,4334,23,8,103.9,201,37.5,72,11,54T,20,145
FalconsFalcons,530,343,64.7,7.8,4146,21,12,92.4,200,37.7,55,9,88,24,156
JaguarsJaguars,527,316,60.0,7.0,3716,21,13,84.4,193,36.6,42,7,75T,24,123
VikingsVikings,527,357,67.7,7.5,3929,25,8,99.1,196,37.2,53,9,65T,27,176
TexansTexans,525,299,57.0,6.9,3644,28,17,82.8,180,34.3,53,6,72T,54,366
RamsRams,518,320,61.8,7.8,4023,28,7,98.3,185,35.7,57,13,94T,28,192
BengalsBengals,510,304,59.6,6.6,3386,25,12,86.0,165,32.4,34,9,77T,40,264
JetsJets,510,323,63.3,6.9,3501,19,12,86.1,157,30.8,46,8,69T,47,319
PanthersPanthers,501,293,58.5,6.6,3319,22,16,79.8,167,33.3,46,5,64,35,242
TitansTitans,496,306,61.7,6.8,3394,14,17,77.1,157,31.6,39,6,75T,35,203
CowboysCowboys,493,309,62.7,6.8,3326,22,13,86.3,162,32.9,34,8,81T,32,185
ColtsColts,487,285,58.5,6.6,3226,13,9,79.6,148,30.4,36,9,80T,56,334
BillsBills,476,289,60.7,6.5,3086,16,10,82.1,149,31.3,40,4,47,47,261
BearsBears,473,291,61.5,6.5,3085,13,12,79.1,144,30.4,30,4,70,39,274
