Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
JetsJets,456,257,56.4,7.4,3364,33,11,157,34.4,28
PatriotsPatriots,596,322,54.0,6.4,3803,17,23,178,29.9,33
CardinalsCardinals,520,311,59.8,6.7,3499,21,11,192,36.9,28
FalconsFalcons,485,302,62.3,7.7,3745,26,6,182,37.5,36
ChargersChargers,636,369,58.0,5.8,3666,28,22,199,31.3,33
RavensRavens,537,350,65.2,7.4,3969,27,15,213,39.7,30
BengalsBengals,571,319,55.9,6.7,3826,22,34,196,34.3,32
VikingsVikings,537,314,58.5,5.8,3121,18,22,169,31.5,43
JaguarsJaguars,508,290,57.1,6.5,3304,24,13,180,35.4,37
BearsBears,524,314,59.9,6.2,3267,21,17,183,34.9,30
49ers49ers,558,287,51.4,5.7,3164,21,20,164,29.4,45
PackersPackers,544,283,52.0,5.0,2740,12,26,151,27.8,37
EaglesEagles,500,271,54.2,6.0,2979,18,19,150,30.0,40
LionsLions,502,311,62.0,6.7,3344,28,11,172,34.3,32
ColtsColts,534,318,59.6,6.8,3643,25,13,189,35.4,29
BroncosBroncos,566,302,53.4,5.6,3139,22,23,165,29.2,40
RaidersRaiders,513,284,55.4,5.9,3021,22,17,162,31.6,34
ChiefsChiefs,536,289,53.9,6.6,3538,19,17,184,34.3,31
SaintsSaints,465,267,57.4,6.1,2834,22,12,152,32.7,41
DolphinsDolphins,539,337,62.5,6.8,3655,29,20,191,35.4,37
SeahawksSeahawks,512,303,59.2,6.5,3339,25,14,181,35.4,48
BuccaneersBuccaneers,503,311,61.8,5.8,2925,17,17,156,31.0,35
PanthersPanthers,556,307,55.2,5.8,3214,17,22,167,30.0,60
CowboysCowboys,484,271,56.0,5.8,2806,10,19,144,29.8,37
BillsBills,562,292,52.0,5.5,3068,11,14,168,29.9,48
RamsRams,558,341,61.1,6.6,3675,23,26,191,34.2,32
RedskinsRedskins,560,325,58.0,6.2,3448,12,21,191,34.1,34
OilersOilers,524,312,59.5,6.2,3225,24,12,169,32.2,35
GiantsGiants,533,317,59.5,6.2,3299,15,22,174,32.6,30
SteelersSteelers,547,322,58.9,5.4,2947,17,23,174,31.8,51
