Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
FalconsFalcons,500,2214,4.4,15,136,27.2
BearsBears,542,2674,4.9,31,151,27.9
EaglesEagles,446,2068,4.6,15,115,25.8
CommandersCommanders,441,1926,4.4,10,102,23.1
BrownsBrowns,488,2295,4.7,22,129,26.4
CowboysCowboys,497,2198,4.4,9,119,23.9
RavensRavens,406,1566,3.9,11,91,22.4
GiantsGiants,469,2451,5.2,16,134,28.6
49ers49ers,389,1321,3.4,11,77,19.8
SteelersSteelers,442,1838,4.2,7,95,21.5
TitansTitans,390,1307,3.4,9,93,23.8
PanthersPanthers,488,2085,4.3,17,125,25.6
LionsLions,477,2491,5.2,22,135,28.3
SaintsSaints,492,2218,4.5,14,122,24.8
PackersPackers,479,2372,5.0,18,129,26.9
JaguarsJaguars,470,1951,4.2,14,114,24.3
BroncosBroncos,438,1866,4.3,12,109,24.9
ColtsColts,511,2109,4.1,20,127,24.8
CardinalsCardinals,446,2016,4.5,21,124,27.8
BillsBills,387,1673,4.3,10,103,26.6
RaidersRaiders,460,2087,4.5,20,126,27.4
PatriotsPatriots,441,1793,4.1,7,90,20.4
SeahawksSeahawks,525,2554,4.9,21,130,24.8
ChiefsChiefs,419,1823,4.4,10,102,24.3
RamsRams,455,1956,4.3,12,106,23.3
JetsJets,492,2068,4.2,14,117,23.8
VikingsVikings,463,2093,4.5,18,113,24.4
ChargersChargers,457,2478,5.4,17,119,26.0
BengalsBengals,407,1706,4.2,12,102,25.1
TexansTexans,573,2894,5.0,25,150,26.2
DolphinsDolphins,422,1751,4.2,15,98,23.2
BuccaneersBuccaneers,458,2052,4.5,12,103,22.5
