Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
RavensRavens,233,78,14,8,79,18.0,1032
BillsBills,245,91,10,4,98,20.8,1089
BrownsBrowns,244,109,9,4,103,22.3,1107
RedskinsRedskins,194,66,17,12,102,23.0,993
TexansTexans,217,75,8,3,88,19.4,970
JetsJets,231,85,18,7,68,16.2,1048
TitansTitans,201,69,11,7,108,24.2,1027
BengalsBengals,225,74,16,5,72,18.7,1042
JaguarsJaguars,226,96,12,9,121,23.9,1089
RaidersRaiders,211,91,6,2,100,22.6,1029
LionsLions,211,64,12,9,62,16.4,982
PatriotsPatriots,232,98,21,4,110,22.9,1118
SaintsSaints,199,69,12,4,82,21.2,943
BuccaneersBuccaneers,204,80,14,8,95,21.7,1020
DolphinsDolphins,238,91,15,8,114,23.6,1106
PackersPackers,204,78,17,10,116,26.8,1015
SteelersSteelers,230,91,20,9,106,24.5,1036
VikingsVikings,231,102,18,11,101,22.8,1132
ColtsColts,210,79,19,10,101,22.5,1026
EaglesEagles,231,93,20,8,100,22.6,1150
RamsRams,201,78,16,9,87,19.8,1014
GiantsGiants,232,93,15,4,101,22.2,1089
NinersNiners,223,76,23,10,77,19.4,1020
CardinalsCardinals,221,78,16,6,68,18.4,1042
PanthersPanthers,212,76,11,3,70,19.9,975
FalconsFalcons,209,96,11,7,102,22.4,1003
ChargersChargers,180,70,13,6,98,26.1,959
BroncosBroncos,218,83,15,4,90,21.4,1074
SeahawksSeahawks,216,76,11,4,83,19.7,990
ChiefsChiefs,229,78,18,9,88,20.6,1067
BearsBears,200,83,16,12,147,30.4,1021
CowboysCowboys,210,91,18,9,122,27.9,1094
