Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
RavensRavens,219,79,12,4,79,18.3,998
CardinalsCardinals,196,67,11,4,83,20.2,936
CowboysCowboys,211,73,11,7,87,21.0,946
RedskinsRedskins,222,81,13,5,74,18.0,981
GiantsGiants,236,94,12,6,83,19.4,1049
JaguarsJaguars,205,67,14,4,79,18.2,964
DolphinsDolphins,236,95,19,8,94,19.6,1078
LionsLions,208,82,11,6,109,22.3,1006
PackersPackers,206,74,8,3,107,21.2,969
PatriotsPatriots,219,92,9,3,94,21.5,997
BuccaneersBuccaneers,214,75,18,7,75,17.1,950
EaglesEagles,233,80,11,7,91,18.0,1038
FalconsFalcons,192,58,16,10,122,27.8,1001
TexansTexans,196,75,20,13,123,24.3,1011
PanthersPanthers,221,90,16,5,72,17.6,981
TitansTitans,200,71,11,7,89,19.8,960
BearsBears,238,76,20,6,83,18.7,1034
RaidersRaiders,226,92,9,3,100,19.7,1029
ChiefsChiefs,206,78,19,7,84,21.9,971
RamsRams,199,80,9,2,116,25.3,1007
SaintsSaints,220,89,4,3,103,20.5,946
BroncosBroncos,207,76,19,10,82,23.8,985
ChargersChargers,212,79,20,10,90,23.3,999
JetsJets,212,88,17,14,136,24.6,1047
49ers49ers,226,87,19,11,115,23.7,1090
BrownsBrowns,215,87,18,8,116,22.0,1021
BillsBills,200,93,12,7,146,29.9,1030
BengalsBengals,190,81,14,6,109,25.4,976
VikingsVikings,221,95,13,5,96,20.8,1029
SteelersSteelers,232,92,17,6,75,18.7,998
SeahawksSeahawks,234,89,19,12,78,18.6,1041
ColtsColts,207,76,24,14,91,22.9,953
