Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
FalconsFalcons,0,0,0,0,168,57.3,84,20.0,995
BillsBills,0,0,0,0,161,61.2,123,25.7,932
BearsBears,0,0,0,0,134,58.5,142,25.8,1024
BengalsBengals,0,0,0,0,151,63.7,107,22.1,942
BrownsBrowns,0,0,0,0,167,55.5,74,21.4,960
CowboysCowboys,0,0,0,0,135,53.2,88,22.4,912
BroncosBroncos,0,0,0,0,170,55.7,126,27.3,1035
LionsLions,0,0,0,0,152,62.8,112,30.6,869
PackersPackers,0,0,0,0,183,60.6,72,20.6,953
OilersOilers,0,0,0,0,251,62.9,97,29.6,1007
ColtsColts,0,0,0,0,142,52.8,81,24.2,874
ChiefsChiefs,0,0,0,0,153,58.8,104,20.6,975
RamsRams,0,0,0,0,191,61.6,89,21.1,1013
RaidersRaiders,0,0,0,0,133,72.7,110,22.2,861
DolphinsDolphins,0,0,0,0,190,61.3,90,21.4,975
VikingsVikings,0,0,0,0,164,61.9,106,23.3,1001
PatriotsPatriots,0,0,0,0,156,56.9,65,17.0,955
SaintsSaints,0,0,0,0,133,58.8,107,23.1,932
GiantsGiants,0,0,0,0,135,58.4,120,22.2,968
JetsJets,0,0,0,0,143,58.1,128,26.9,967
EaglesEagles,0,0,0,0,170,60.5,132,24.4,1069
CardinalsCardinals,0,0,0,0,135,56.7,115,25.4,935
SteelersSteelers,0,0,0,0,150,63.3,93,20.4,897
ChargersChargers,0,0,0,0,142,57.7,112,23.1,974
49ers49ers,0,0,0,0,201,55.8,107,23.6,1074
SeahawksSeahawks,0,0,0,0,154,58.1,112,24.5,945
BuccaneersBuccaneers,0,0,0,0,142,58.0,83,20.2,911
RedskinsRedskins,0,0,0,0,193,64.1,117,22.7,1073
