Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
ChiefsChiefs,556,2627,4.7,13,15,4,80T,129,23.2,7
JetsJets,534,2374,4.4,14,11,2,53,118,22.1,11
JaguarsJaguars,512,2395,4.7,14,14,1,74,148,28.9,8
RaidersRaiders,504,2494,5.0,19,27,6,71,113,22.4,9
FalconsFalcons,497,1891,3.8,14,12,1,55T,111,22.3,4
RavensRavens,487,1831,3.8,11,7,1,50,97,19.9,6
GiantsGiants,480,2200,4.6,17,23,3,73,111,23.1,12
SteelersSteelers,471,1924,4.1,15,16,1,50T,106,22.5,9
ChargersChargers,457,1810,4.0,18,13,0,36,94,20.6,13
PatriotsPatriots,454,1973,4.4,19,9,0,36,119,26.2,2
DolphinsDolphins,445,1643,3.7,8,5,2,51,91,20.4,12
VikingsVikings,441,1942,4.4,16,11,2,80,104,23.6,7
BuccaneersBuccaneers,431,2001,4.6,9,16,5,61,97,22.5,7
RamsRams,429,1578,3.7,9,9,1,42T,84,19.6,2
PanthersPanthers,428,1846,4.3,7,14,4,60,78,18.2,16
BengalsBengals,428,1522,3.6,8,3,1,42T,85,19.9,11
CowboysCowboys,428,1786,4.2,10,11,1,60,104,24.3,5
EaglesEagles,428,2324,5.4,18,19,6,62,116,27.1,7
TexansTexans,423,2042,4.8,20,16,3,74,118,27.9,5
PackersPackers,421,1606,3.8,11,3,1,71,88,20.9,4
BearsBears,414,1616,3.9,10,11,2,68T,76,18.4,1
BrownsBrowns,413,1646,4.0,13,7,2,68,87,21.1,13
TitansTitans,406,1727,4.2,13,15,5,76,73,18.0,7
LionsLions,404,1613,4.0,11,9,2,45,83,20.5,6
BillsBills,401,1720,4.3,6,9,0,39,82,20.4,11
NinersNiners,401,1657,4.1,10,8,1,64,85,21.2,6
BroncosBroncos,398,1544,3.9,13,6,1,40,81,20.4,12
ColtsColts,393,1483,3.8,13,7,3,49,87,22.1,5
SeahawksSeahawks,385,1424,3.7,13,12,0,39,81,21.0,3
SaintsSaints,380,1519,4.0,9,7,2,55T,94,24.7,7
RedskinsRedskins,351,1461,4.2,9,12,1,54,72,20.5,6
CardinalsCardinals,320,1388,4.3,9,11,2,80,65,20.3,7
