Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BillsBills,453,1626,3.6,16,93,20.5
EaglesEagles,466,1822,3.9,14,102,21.9
ChiefsChiefs,404,1327,3.3,7,83,20.5
CowboysCowboys,442,1772,4.0,13,113,25.6
SteelersSteelers,370,1321,3.6,9,67,18.1
BearsBears,405,1441,3.6,9,81,20.0
ChargersChargers,441,1691,3.8,15,112,25.4
OilersOilers,400,1526,3.8,11,85,21.2
ColtsColts,418,1457,3.5,8,92,22.0
GiantsGiants,500,2109,4.2,17,120,24.0
SeahawksSeahawks,496,2130,4.3,11,116,23.4
PatriotsPatriots,448,1878,4.2,12,106,23.7
RedskinsRedskins,483,2132,4.4,18,127,26.3
RaidersRaiders,446,1794,4.0,15,90,20.2
PanthersPanthers,450,1576,3.5,17,99,22.0
BroncosBroncos,451,1895,4.2,19,114,25.3
VikingsVikings,352,1329,3.8,11,75,21.3
49ers49ers,348,1061,3.0,5,57,16.4
DolphinsDolphins,415,1675,4.0,7,93,22.4
PackersPackers,374,1515,4.0,12,99,26.5
JaguarsJaguars,504,2003,4.0,17,121,24.0
BrownsBrowns,480,1826,3.8,15,112,23.3
BuccaneersBuccaneers,449,1754,3.9,14,104,23.2
RamsRams,410,1677,4.1,14,101,24.6
LionsLions,409,1795,4.4,15,110,26.9
CardinalsCardinals,503,2249,4.5,14,105,20.9
SaintsSaints,469,1838,3.9,13,107,22.8
JetsJets,526,2016,3.8,15,123,23.4
BengalsBengals,483,2104,4.4,10,117,24.2
FalconsFalcons,404,1547,3.8,12,96,23.8
