Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
SeahawksSeahawks,568,374,65.8,6.9,3927,27,13,204,35.9,28
ColtsColts,583,372,63.8,5.8,3403,19,16,203,34.8,34
CardinalsCardinals,593,346,58.4,6.3,3739,22,21,188,31.7,43
TexansTexans,548,344,62.8,6.4,3487,19,14,175,31.9,30
PatriotsPatriots,512,300,58.6,6.6,3355,25,18,193,37.7,31
LionsLions,545,371,68.1,7.8,4249,35,9,213,39.1,26
FalconsFalcons,536,335,62.5,7.2,3871,25,15,197,36.8,28
BearsBears,531,341,64.2,6.4,3382,29,13,186,35.0,35
BroncosBroncos,510,298,58.4,5.8,2981,18,17,167,32.8,39
PackersPackers,540,294,54.4,6.0,3218,29,30,168,31.1,37
VikingsVikings,535,341,63.7,6.5,3494,26,11,183,34.2,48
EaglesEagles,580,354,61.0,6.0,3462,27,25,179,30.9,44
CowboysCowboys,572,344,60.1,6.3,3606,19,11,186,32.5,42
DolphinsDolphins,489,281,57.5,7.7,3754,23,15,184,37.6,44
SaintsSaints,574,330,57.5,6.6,3769,15,26,175,30.5,35
RamsRams,491,315,64.2,7.7,3764,22,8,182,37.1,25
GiantsGiants,498,314,63.0,6.9,3425,31,13,182,36.6,32
ChiefsChiefs,509,302,59.3,7.3,3707,25,15,178,35.0,22
SteelersSteelers,548,319,58.2,6.3,3447,22,12,186,33.9,47
RedskinsRedskins,511,314,61.4,6.5,3316,19,11,176,34.4,40
NinersNiners,580,352,60.7,6.3,3670,14,18,176,30.3,44
BuccaneersBuccaneers,482,301,62.4,6.9,3318,28,19,171,35.5,28
JaguarsJaguars,510,345,67.6,7.4,3774,28,15,191,37.4,14
ChargersChargers,534,326,61.0,6.3,3348,23,14,177,33.2,35
RavensRavens,524,306,58.4,6.3,3316,17,22,164,31.3,32
RaidersRaiders,438,259,59.1,7.5,3303,16,8,158,36.1,37
BengalsBengals,547,318,58.1,5.9,3249,18,19,165,30.2,34
TitansTitans,604,404,66.9,6.8,4139,31,20,210,34.8,32
PanthersPanthers,495,305,61.6,6.2,3056,14,22,155,31.3,31
BrownsBrowns,526,313,59.5,7.4,3915,22,10,189,35.9,40
BillsBills,519,295,56.8,5.7,2948,14,28,157,30.2,32
JetsJets,501,259,51.7,4.9,2459,8,17,128,25.6,32
