Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
JetsJets,607,2756,4.5,21,19,3,71,132,21.8,9
PanthersPanthers,525,2498,4.8,18,19,6,77T,123,23.4,11
DolphinsDolphins,509,2231,4.4,22,9,3,68,129,25.3,11
BengalsBengals,505,2056,4.1,9,17,2,61,109,21.6,8
TitansTitans,499,2592,5.2,19,24,8,91,115,23.0,14
BrownsBrowns,498,2087,4.2,10,8,1,71,102,20.5,6
RavensRavens,468,2200,4.7,22,16,4,77,115,24.6,6
SaintsSaints,468,2106,4.5,21,14,2,55T,115,24.6,6
VikingsVikings,467,1918,4.1,19,15,3,64T,99,21.2,8
PatriotsPatriots,466,1921,4.1,19,7,2,55T,114,24.5,7
FalconsFalcons,451,1876,4.2,15,17,2,58T,105,23.3,5
JaguarsJaguars,447,2029,4.5,19,12,3,80,114,25.5,7
GiantsGiants,443,1837,4.2,14,8,0,38T,103,23.2,12
BroncosBroncos,440,1836,4.2,9,7,1,45T,95,21.6,6
PackersPackers,438,1885,4.3,20,11,2,62T,102,23.3,3
ChiefsChiefs,438,1929,4.4,8,11,5,76,91,20.8,14
CowboysCowboys,436,2103,4.8,14,14,5,66,110,25.2,6
SteelersSteelers,428,1793,4.2,10,13,1,60T,96,22.4,8
ChargersChargers,427,1423,3.3,17,7,0,36,80,18.7,2
TexansTexans,425,1475,3.5,13,4,0,32T,93,21.9,11
BillsBills,424,1867,4.4,6,12,2,47,81,19.1,6
RamsRams,411,1784,4.3,4,11,3,58,79,19.2,7
RaidersRaiders,410,1701,4.2,7,11,2,60T,81,19.8,8
LionsLions,409,1616,4.0,9,5,1,64T,82,20.0,7
BuccaneersBuccaneers,404,1627,4.0,5,12,0,35,80,19.8,12
SeahawksSeahawks,395,1566,4.0,7,11,1,62,80,20.2,11
RedskinsRedskins,391,1510,3.9,8,6,1,78,72,18.4,6
EaglesEagles,384,1637,4.3,14,7,3,67,87,22.7,7
BearsBears,373,1492,4.0,6,7,3,72,71,19.0,10
NinersNiners,371,1600,4.3,12,13,4,80T,77,20.8,5
ColtsColts,366,1294,3.5,16,6,1,45,69,18.8,4
CardinalsCardinals,365,1494,4.1,16,7,1,50T,77,21.1,12
