Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
RavensRavens,253,92,16,6,189,52.1,68,16.1,1090
BillsBills,244,83,14,4,149,49.8,113,20.7,1116
BrownsBrowns,237,83,31,14,200,52.8,77,22.1,1078
RedskinsRedskins,235,95,20,6,198,55.8,112,24.7,1107
TexansTexans,231,83,17,6,198,53.4,89,21.5,1089
JetsJets,231,90,8,1,154,57.9,105,21.3,1020
TitansTitans,227,94,17,11,172,52.4,103,22.3,1032
BengalsBengals,225,92,21,12,205,56.3,101,21.0,1097
JaguarsJaguars,225,70,30,13,176,50.4,71,18.8,1020
RaidersRaiders,223,78,12,7,168,56.4,90,20.6,1000
LionsLions,221,95,14,5,221,59.6,105,23.6,1102
PatriotsPatriots,221,83,15,7,225,59.2,109,23.2,1138
SaintsSaints,221,97,19,9,244,54.7,87,22.2,1079
BuccaneersBuccaneers,221,69,22,8,157,54.0,75,17.9,981
DolphinsDolphins,217,76,12,3,205,57.4,61,17.5,1001
PackersPackers,216,89,13,9,201,54.9,118,25.7,1074
SteelersSteelers,216,82,15,9,207,54.9,81,20.6,1023
VikingsVikings,214,78,19,10,173,53.2,105,24.8,1013
ColtsColts,213,80,10,3,191,54.6,88,21.5,1023
EaglesEagles,213,83,14,7,197,63.6,133,26.6,1054
RamsRams,212,73,18,6,165,54.8,82,19.2,968
GiantsGiants,211,69,12,6,176,54.2,77,20.2,988
NinersNiners,211,77,11,7,148,60.7,115,22.8,961
CardinalsCardinals,210,74,9,5,205,56.5,84,19.9,1037
PanthersPanthers,208,91,13,10,169,57.9,122,25.3,999
FalconsFalcons,207,89,14,6,227,51.0,64,19.9,1024
ChargersChargers,206,101,6,5,230,60.8,103,21.2,1060
BroncosBroncos,205,95,9,8,293,63.6,107,23.2,1156
SeahawksSeahawks,204,76,11,6,160,59.9,116,22.8,973
ChiefsChiefs,202,72,9,3,179,53.8,110,24.9,968
BearsBears,197,83,13,8,215,57.6,102,25.2,1013
CowboysCowboys,180,63,6,4,213,56.8,80,23.8,957
