Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
PatriotsPatriots,549,342,62.3,7.1,3886,29,15,181,33.0,37
49ers49ers,611,330,54.0,5.5,3337,19,26,192,31.4,40
VikingsVikings,620,369,59.5,6.6,4122,29,25,212,34.2,44
RamsRams,534,320,59.9,6.4,3441,27,22,178,33.3,36
LionsLions,580,354,61.0,6.6,3804,17,22,201,34.7,42
FalconsFalcons,650,405,62.3,7.0,4541,28,18,230,35.4,30
BroncosBroncos,529,297,56.1,6.2,3298,20,8,186,35.2,30
PackersPackers,616,351,57.0,5.9,3640,25,13,188,30.5,39
DolphinsDolphins,556,327,58.8,6.4,3569,30,14,192,34.5,29
SteelersSteelers,531,314,59.1,6.1,3240,24,22,181,34.1,42
JetsJets,497,263,52.9,5.5,2740,21,17,149,30.0,43
BengalsBengals,602,364,60.5,7.0,4245,25,12,215,35.7,42
SaintsSaints,543,329,60.6,6.9,3723,23,17,195,35.9,44
CardinalsCardinals,461,264,57.3,7.5,3455,33,19,180,39.0,31
BrownsBrowns,573,360,62.8,6.7,3822,23,17,200,34.9,29
RaidersRaiders,527,301,57.1,6.3,3310,14,11,177,33.6,43
ChargersChargers,543,321,59.1,6.2,3383,16,17,178,32.8,36
PanthersPanthers,586,310,52.9,5.9,3451,15,21,175,29.9,36
OilersOilers,553,289,52.3,5.6,3125,24,21,157,28.4,30
ChiefsChiefs,596,329,55.2,5.4,3222,16,16,178,29.9,47
BearsBears,595,374,62.9,6.7,4001,27,16,212,35.6,35
RedskinsRedskins,546,338,61.9,6.0,3268,20,16,182,33.3,30
SeahawksSeahawks,554,310,56.0,6.4,3539,26,16,181,32.7,28
BuccaneersBuccaneers,557,346,62.1,7.1,3958,19,14,202,36.3,25
BillsBills,582,310,53.3,6.0,3502,14,17,180,30.9,49
EaglesEagles,499,268,53.7,5.6,2816,14,19,154,30.9,48
JaguarsJaguars,509,304,59.7,6.9,3512,28,13,177,34.8,17
CowboysCowboys,523,293,56.0,6.3,3272,17,19,165,31.6,36
GiantsGiants,508,299,58.9,6.3,3184,17,16,187,36.8,29
ColtsColts,569,336,59.0,6.3,3570,23,13,182,32.0,29
