Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
BillsBills,531,2161,4.1,13,11,0,32T,115,21.7,10
BroncosBroncos,525,2468,4.7,26,17,6,70T,135,25.7,5
BuccaneersBuccaneers,523,2148,4.1,12,11,2,50,111,21.2,6
FalconsFalcons,516,2101,4.1,18,18,2,48,111,21.5,8
JetsJets,500,1879,3.8,12,8,2,60,99,19.8,9
CowboysCowboys,499,2014,4.0,21,14,1,49T,125,25.0,6
49ers49ers,491,2544,5.2,19,17,3,96,129,26.3,6
SteelersSteelers,490,2034,4.2,8,7,3,56T,106,21.6,7
JaguarsJaguars,487,2102,4.3,19,12,5,77T,111,22.8,8
GiantsGiants,474,1889,4.0,10,7,1,45,104,21.9,5
OilersOilers,462,1970,4.3,12,11,2,71,118,25.5,9
ChargersChargers,460,1728,3.8,11,9,1,72T,95,20.6,15
DolphinsDolphins,458,1535,3.4,10,11,3,45,73,15.9,11
BearsBears,454,1713,3.8,9,5,3,57,89,19.6,9
VikingsVikings,450,1936,4.3,17,14,5,74,98,21.8,4
CardinalsCardinals,450,1627,3.6,18,10,0,32,98,21.8,9
RaidersRaiders,449,1727,3.8,6,12,2,80,89,19.8,10
PackersPackers,447,1526,3.4,7,2,1,50,93,20.8,6
LionsLions,441,1955,4.4,12,15,4,73,94,21.3,6
ChiefsChiefs,433,1548,3.6,19,8,0,38,103,23.8,13
EaglesEagles,427,1775,4.2,10,10,3,64,86,20.1,5
SeahawksSeahawks,426,1626,3.8,11,8,1,64T,92,21.6,12
RavensRavens,408,1629,4.0,7,7,3,56,86,21.1,8
PanthersPanthers,405,1458,3.6,11,10,1,41,68,16.8,16
BengalsBengals,405,1639,4.0,7,4,2,66,92,22.7,5
PatriotsPatriots,403,1480,3.7,9,8,5,71,68,16.9,8
RedskinsRedskins,401,1685,4.2,15,15,1,45,84,21.0,5
RamsRams,395,1385,3.5,17,7,2,46T,81,20.5,14
ColtsColts,384,1486,3.9,7,5,3,68T,77,20.0,4
SaintsSaints,374,1325,3.5,6,7,0,33T,67,17.9,12
