Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
RavensRavens,340,1494,4.4,12,74,21.8
49ers49ers,401,1802,4.5,11,105,26.2
SeahawksSeahawks,388,1883,4.8,22,97,25.0
VikingsVikings,404,1728,4.3,8,78,19.3
ColtsColts,383,1567,4.1,8,93,24.3
BillsBills,388,1649,4.2,12,93,24.0
EaglesEagles,353,1442,4.1,13,76,21.5
CowboysCowboys,407,1656,4.1,14,101,24.8
PatriotsPatriots,365,1528,4.2,7,72,19.7
TitansTitans,415,1672,4.0,14,95,22.9
RaidersRaiders,405,1570,3.9,15,91,22.5
TexansTexans,403,1937,4.8,12,98,24.3
PackersPackers,411,1921,4.7,15,99,24.1
BroncosBroncos,426,1783,4.2,9,96,22.5
BuccaneersBuccaneers,362,1181,3.3,11,70,19.3
LionsLions,455,1855,4.1,13,94,20.7
SaintsSaints,345,1461,4.2,12,71,20.6
RamsRams,444,1809,4.1,15,100,22.5
CardinalsCardinals,439,1922,4.4,9,94,21.4
BearsBears,414,1632,3.9,16,86,20.8
SteelersSteelers,462,1753,3.8,7,110,23.8
BrownsBrowns,463,2315,5.0,19,124,26.8
JaguarsJaguars,435,2229,5.1,23,114,26.2
PanthersPanthers,445,2296,5.2,31,128,28.8
BengalsBengals,504,2382,4.7,17,124,24.6
JetsJets,417,1391,3.3,12,75,18.0
ChiefsChiefs,416,2051,4.9,14,115,27.6
ChargersChargers,429,1805,4.2,15,101,23.5
FalconsFalcons,421,1775,4.2,13,108,25.6
GiantsGiants,469,1812,3.9,19,100,21.3
RedskinsRedskins,493,2339,4.7,14,120,24.3
DolphinsDolphins,485,2166,4.5,15,113,23.3
