Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
RedskinsRedskins,202,72,19,9,89,21.9,911
PackersPackers,189,71,16,7,89,21.9,923
ChargersChargers,200,73,12,3,80,21.9,907
VikingsVikings,207,79,14,4,113,25.8,997
PatriotsPatriots,214,77,15,6,112,21.5,1000
SeahawksSeahawks,230,75,9,6,96,18.7,987
SteelersSteelers,195,65,17,5,99,22.8,949
CowboysCowboys,184,50,15,7,68,19.7,873
EaglesEagles,222,74,20,13,73,18.9,959
ColtsColts,197,70,15,6,129,26.1,1004
ChiefsChiefs,205,73,11,6,97,22.0,949
BuccaneersBuccaneers,212,92,12,7,100,22.7,985
BroncosBroncos,222,81,13,5,105,21.5,1001
RaidersRaiders,219,72,22,10,104,21.8,974
DolphinsDolphins,217,88,20,7,92,21.5,976
BillsBills,218,84,14,7,77,18.0,991
JetsJets,201,72,14,7,110,23.9,961
BengalsBengals,216,99,18,10,126,25.7,1024
CardinalsCardinals,185,67,5,2,101,23.2,915
SaintsSaints,209,71,18,8,86,22.6,949
GiantsGiants,180,76,15,4,115,25.1,923
BearsBears,194,69,20,9,109,23.3,953
BrownsBrowns,205,76,14,7,86,20.0,963
49ers49ers,199,75,17,8,90,25.6,943
FalconsFalcons,189,81,6,1,109,23.5,934
RamsRams,204,91,5,2,130,27.8,1005
LionsLions,200,84,9,4,119,25.9,976
OilersOilers,194,68,14,7,93,22.6,907
